Organism,Count,R,S,I,NI,NA_Count,Drug,Dominant_Category
WEISELLA SP.,2,0,0,0,0,2,Pradofloxacin,Tie
LYSINIBACILLUS SP.,1,0,0,0,0,1,Pradofloxacin,Tie
MICROBACTERIUM PARAOXYDAS,1,0,0,0,0,1,Pradofloxacin,Tie
STREPTOCOCCUS SP. GP. C,1,0,1,0,0,0,Pradofloxacin,S
ARCANOBACTERIUM SP.,11,0,0,1,0,10,Pradofloxacin,I
STAPHYLOCOCCUS SCHLEIFERI-COAG CULTURE NEGATIVE,1,0,0,0,0,1,Pradofloxacin,Tie
STAPHYLOCOCCUS SCHLEIFERI-COAG POSITIVE,1,0,0,0,0,1,Pradofloxacin,Tie
DERMACOCCUS SP.,1,0,0,0,0,1,Pradofloxacin,Tie
HAEMOPHILUS HAEMOGLOBINOPHILIS,1,0,0,0,0,1,Pradofloxacin,Tie
ENTEROCOCCUS MUNDTII,2,0,0,0,0,2,Pradofloxacin,Tie
STREPTOCOCCUS MITIS,2,0,0,0,0,2,Pradofloxacin,Tie
KOCURIA SP.,1,0,0,0,0,1,Pradofloxacin,Tie
LELLIOTTIA AMNIGENA,1,0,0,0,0,1,Pradofloxacin,Tie
ACINETOBACTERER JUNII,2,0,0,0,0,2,Pradofloxacin,Tie
KOCURIA KRISTINAE,1,0,0,0,0,1,Pradofloxacin,Tie
MACROCOCCUS CASEOLYTICUS,1,0,0,0,0,1,Pradofloxacin,Tie
PASTEURELLA MAIRII,1,0,0,0,0,1,Pradofloxacin,Tie
STAPHYLOCOCCUS COAG CULTURE NEGATIVE,1,0,0,0,0,1,Pradofloxacin,Tie
SERRATIA FONTICOLA,2,0,0,0,0,2,Pradofloxacin,Tie
LEUCONOSTOC SP.,1,0,0,0,0,1,Pradofloxacin,Tie
LYSINIBACILLUS FUSIFORMIS,1,0,0,0,0,1,Pradofloxacin,Tie
GRAMNEGATIVE COCCI,1,0,0,0,0,1,Pradofloxacin,Tie
BREVIBACTERIUM SP.,1,1,0,0,0,0,Pradofloxacin,R
STREPTOCOCCUS ANGINOSUS,1,0,0,0,0,1,Pradofloxacin,Tie
STREPTOCOCCUS SUIS 2/4/33/34,1,0,0,0,0,1,Pradofloxacin,Tie
PAENIBACILLUS SP.,7,0,1,0,0,6,Pradofloxacin,S
GRAMPOSITIVE BRANCHING ROD,2,1,0,0,0,1,Pradofloxacin,R
CHRYSEOBACTERIUM SP.,2,0,0,0,0,2,Pradofloxacin,Tie
ACTINOBACILLUS EQUULI,9,0,0,0,0,9,Pradofloxacin,Tie
STAPHYLOCOCCUS HOMINIS SS HOMINIS,1,0,0,0,0,1,Pradofloxacin,Tie
TRUEPERELLA BERNARDIAE,3,0,0,0,0,3,Pradofloxacin,Tie
CITROBACTER FARMERI,2,0,0,0,0,2,Pradofloxacin,Tie
ENTEROCOCCUS CANINESTINI,1,0,0,0,0,1,Pradofloxacin,Tie
STREPTOCOCCUS DYS. SS DYSGALACTIAE,11,0,1,0,0,10,Pradofloxacin,S
SALMONELLA GROUP - C1,1,0,0,0,0,1,Pradofloxacin,Tie
VIBRIO CHOLERAE,1,0,0,0,0,1,Pradofloxacin,Tie
GEMELLA CUNICULIS,1,0,0,0,0,1,Pradofloxacin,Tie
SALMONELLA GROUP - C2,1,0,0,0,0,1,Pradofloxacin,Tie
PSEUDOMONAS LUTEOLA,1,0,0,0,0,1,Pradofloxacin,Tie
STENOTROPHOMONAS SP.,1,0,1,0,0,0,Pradofloxacin,S
STREPTOCOCCUS SUIS,1,0,0,0,0,1,Pradofloxacin,Tie
STREPTOCOCCUS SUIS 16,1,0,0,0,0,1,Pradofloxacin,Tie
AEROMONAS HYDROPHILA/CAVIAE,2,0,0,0,0,2,Pradofloxacin,Tie
PROVIDENCIA ALCALIFACIENS,1,0,0,0,0,1,Pradofloxacin,Tie
STAPHYLOCOCCUS FELIS,32,1,30,0,0,1,Pradofloxacin,S
YOKENELLA REGENSBURGEI,1,0,0,0,0,1,Pradofloxacin,Tie
KLEBSIELLA AEROGENES,2,0,0,0,0,2,Pradofloxacin,Tie
GRANULICATELLA ADIACENS,1,0,0,0,0,1,Pradofloxacin,Tie
CORYNEBACTERIUM XEROSIS,1,0,0,0,0,1,Pradofloxacin,Tie
CORYNEBACTERIUM PROPINQUUM,1,0,0,0,0,1,Pradofloxacin,Tie
KLEBSIELLA (ENTEROBACTER) AEROGENES,1,0,0,0,0,1,Pradofloxacin,Tie
CAPNOCYTOPHAGA CYNODEGMI,2,0,0,0,0,2,Pradofloxacin,Tie
ALCALIGENES SP.,1,0,0,0,0,1,Pradofloxacin,Tie
ACTINOBACILLUS PLEUROPNEUMONIAE,3,0,0,0,0,3,Pradofloxacin,Tie
ACTINOBACILLUS EQUULI SS HAEMOLYTICUS,1,0,0,0,0,1,Pradofloxacin,Tie
ENTEROBACTER HORMAECHEI,38,0,0,2,0,36,Pradofloxacin,I
ACTINOMYCES HYOVAGINALIS,6,0,0,0,0,6,Pradofloxacin,Tie
AEROMONAS HYDROPHILA COMPLEX,2,0,0,0,0,2,Pradofloxacin,Tie
STREPTOCOCCUS SUIS XXXIV,2,0,0,0,0,2,Pradofloxacin,Tie
HAEMOPHILUS HAEMOLYTICUS,1,0,0,0,0,1,Pradofloxacin,Tie
AEROMONAS HYDROPHILA /CAVIAE,1,0,0,0,0,1,Pradofloxacin,Tie
ESCHERICHIA COLI - HAEMOLYTIC,1,0,0,0,0,1,Pradofloxacin,Tie
KOSAKONIA COWANII,1,0,0,0,0,1,Pradofloxacin,Tie
TRUEPERELLA ABORTISUIS,4,0,2,0,1,1,Pradofloxacin,S
ERYSIPELOTHRIX RHUSIOPATHIAE,1,0,0,0,0,1,Pradofloxacin,Tie
OCHROBACTRUM ANTHROPI,1,0,0,0,0,1,Pradofloxacin,Tie
CURTOBACTERIUM SP.,1,0,0,0,0,1,Pradofloxacin,Tie
MORAXELLAPLURANIMA,2,0,0,0,0,2,Pradofloxacin,Tie
STREPTOCOCCUS SUIS XIII,1,0,0,0,0,1,Pradofloxacin,Tie
STAPHYLOCOCCUS COAGULASE-CULTURE NEGATIVE,33,0,18,0,0,15,Pradofloxacin,S
NEISSERIA MUCOSA,1,0,0,0,1,0,Pradofloxacin,NI
TRUEPERELLA PYOGENES (ACTINOMYCES/CORYNEBACTERIUM),37,0,0,0,0,37,Pradofloxacin,Tie
STREPTOCOCCUS EQUI SPP ZOOEPIDEMICUS,95,0,2,0,0,93,Pradofloxacin,S
GALLIBACTERIUM ANATIS (PASTEURELLA),1,0,0,0,0,1,Pradofloxacin,Tie
MORAXELLA OVIS,2,0,0,0,0,2,Pradofloxacin,Tie
KLEBSIELLA AEROGENES (ENTEROBACTER),23,0,1,0,0,22,Pradofloxacin,S
STREPTOCOCCUS SP. ALPHA HEMOLYTIC,15,0,1,0,0,14,Pradofloxacin,S
STREPTOCOCCUS PORCINUS,4,0,0,0,0,4,Pradofloxacin,Tie
MORGANELLA MORGANII (PROTEUS),3,0,0,0,0,3,Pradofloxacin,Tie
MORGANELLA MORGANII,1,0,0,0,0,1,Pradofloxacin,Tie
STREPTOCOCCUS EQUI,5,0,0,0,0,5,Pradofloxacin,Tie
ENTEROCOCUS FAECALIS,1,0,0,0,0,1,Pradofloxacin,Tie
NOCARDIA SP,1,0,0,0,0,1,Pradofloxacin,Tie
SALMONELLA SP. GROUP C1/C2,1,0,0,0,0,1,Pradofloxacin,Tie
SALMONELLA SP. GROUP E1/E4,1,0,0,0,0,1,Pradofloxacin,Tie
CORYNEBACTERIUM RESISTENS,2,0,0,0,1,1,Pradofloxacin,NI
SERRATIA SP.,1,0,0,0,0,1,Pradofloxacin,Tie
ENTEROBACTER BUGANDENSIS,7,0,0,0,0,7,Pradofloxacin,Tie
SALMONELLA SP. E1,1,0,0,0,0,1,Pradofloxacin,Tie
LACTOBACILLUS MURINUS,1,0,0,0,0,1,Pradofloxacin,Tie
BORDETELLA HINZII,1,0,0,0,0,1,Pradofloxacin,Tie
RHODOCOCCUS SP.,1,0,0,0,0,1,Pradofloxacin,Tie
BURKHOLDERIA MULTIVORANS,1,0,0,0,0,1,Pradofloxacin,Tie
SALMONELLA GROUP C1,1,0,0,0,0,1,Pradofloxacin,Tie
ACTINOBACILLUS EQUULI SPP EQUULI,2,0,0,0,0,2,Pradofloxacin,Tie
ENTEROBACTER KOBEI,1,0,0,0,0,1,Pradofloxacin,Tie
STENOTROPHOMONAS MALTOPHILIA (XANTHOMONAS),3,0,0,0,0,3,Pradofloxacin,Tie
PANTOEA AGGLOMERANS (ENTEROBACTER),1,0,0,0,0,1,Pradofloxacin,Tie
BUCHANANELLA HORDEOVULNERIS,2,0,0,0,0,2,Pradofloxacin,Tie
ACTINOMYCES BOWDENII,3,0,0,0,0,3,Pradofloxacin,Tie
ARCANOBACTERIUM HAEMOLYTICUM,1,0,0,0,0,1,Pradofloxacin,Tie
PSEUDOMONAS ALCALIPHILA,1,0,0,0,1,0,Pradofloxacin,NI
SCHAALIA (ACTINOMYCES) CANIS,1,0,0,0,0,1,Pradofloxacin,Tie
STREPTOCOCCUS DIDELPHIS,1,0,1,0,0,0,Pradofloxacin,S
STAPHYLOCOCCUS SIMULANS,2,0,1,0,0,1,Pradofloxacin,S
SCHAALIA HYOVAGINALIS,6,0,0,0,0,6,Pradofloxacin,Tie
SALMONELLA SP.GROUP C,1,0,0,0,0,1,Pradofloxacin,Tie
RHODOCOCCUS HOAGII (RHODOCOCCUS EQUI),2,0,0,0,0,2,Pradofloxacin,Tie
SALMONELLA C1,1,0,0,0,0,1,Pradofloxacin,Tie
SALMONELLA 18,1,0,0,0,0,1,Pradofloxacin,Tie
OLIGELLA URETHRALIS,1,0,0,0,0,1,Pradofloxacin,Tie
BORDETELLA TREMATUM,1,0,0,0,0,1,Pradofloxacin,Tie
CORYNEBACTERIUM MASTITIDIS,1,0,0,0,1,0,Pradofloxacin,NI
AEROMONAS SALMONICIDA,2,0,0,0,0,2,Pradofloxacin,Tie
LACTOCOCCUS LACTIS,1,0,0,0,0,1,Pradofloxacin,Tie
PROVIDENCIA RETTGERI (PROTEUS),3,0,1,0,0,2,Pradofloxacin,S
SCHAALIA CANIS,5,0,0,0,1,4,Pradofloxacin,NI
SCHAALIA (ACTINOMYCES) HYOVAGINALIS,1,0,0,0,0,1,Pradofloxacin,Tie
FLAVOBACTERIUM SP.,1,0,0,0,0,1,Pradofloxacin,Tie
HISTOPHILUS SOMNI (HAEMOPHILUS SOMNUS),1,0,0,0,0,1,Pradofloxacin,Tie
PANTOEA EUCRINA,1,0,0,0,0,1,Pradofloxacin,Tie
ACTINOBACILLUS LIGNIERESII,1,0,0,0,0,1,Pradofloxacin,Tie
CORYNEBACTERIUM DIPHTHERIAE,1,0,0,0,0,1,Pradofloxacin,Tie
STAPHYLOCOCCUS SP. COAGULASE-CULTURE NEGATIVE,1,0,0,0,0,1,Pradofloxacin,Tie
PSEUDOMONAS OLEOVORANS,1,0,0,0,1,0,Pradofloxacin,NI
CORYNEBACTERIUM KUTSCHERI,2,0,0,0,0,2,Pradofloxacin,Tie
ESCHERICHIA SP.,1,0,0,0,0,1,Pradofloxacin,Tie
,2,0,0,0,0,2,Pradofloxacin,Tie
CORYNEBACTERIUM SP.,341,12,126,4,139,60,Rifampin,NI
CULTURE NEGATIVE,39939,0,0,0,0,0,Rifampin,Tie
GRAMNEGATIVE ROD,66,0,11,0,32,23,Rifampin,NI
ACINETOBACTER BAUMANNII COMPLEX,6,3,0,0,2,1,Rifampin,R
PROTEUS MIRABILIS,654,2,0,1,152,499,Rifampin,NI
STAPHYLOCOCCUS EPIDERMIDIS,23,0,5,0,14,4,Rifampin,NI
ENTEROCOCCUS SP.,264,107,125,21,0,11,Rifampin,S
PSEUDOMONAS AERUGINOSA,564,12,0,0,170,382,Rifampin,NI
ESCHERICHIA COLI,2826,32,0,1,793,2000,Rifampin,NI
MORGANELLA MORGANI SS MORGANII,25,2,0,0,8,15,Rifampin,NI
PROTEUS SP.,4,0,0,0,2,2,Rifampin,NI
ALCALIGENES FAECALIS SS FAECALIS,4,2,0,0,2,0,Rifampin,Tie
STREPTOCOCCUS ALPHA HEMOLYTIC,335,6,37,1,241,50,Rifampin,NI
BACILLUS LENTUS,1,0,0,0,1,0,Rifampin,NI
ENTEROBACTER CLOACAE COMPLEX,20,3,0,0,17,0,Rifampin,NI
PASTEURELLA MULTOCIDA,160,0,0,0,49,111,Rifampin,NI
PROTEUS VULGARIS,35,3,0,0,11,21,Rifampin,NI
STAPHYLOCOCCUS PSEUDINTERMEDIUS,2157,26,1405,5,566,155,Rifampin,S
STREPTOCOCCUS BETA GROUP - G,5,0,0,0,5,0,Rifampin,NI
KLEBSIELLA PNEUMONIAE,174,13,0,0,65,96,Rifampin,NI
LECLERCIA ADECARBOXYLATA,8,0,0,0,4,4,Rifampin,NI
BACILLUS SP.,130,2,47,0,65,16,Rifampin,NI
ESCHERICHIA COLI HAEMOLYTIC,25,0,0,0,23,2,Rifampin,NI
AEROCOCCUS SP.,13,0,0,0,13,0,Rifampin,NI
STREPTOCOCCUS EQUI SS ZOOEPIDEMICUS,162,1,67,1,84,9,Rifampin,NI
KLEBSIELLA OXYTOCA,72,3,0,0,22,47,Rifampin,NI
PSEUDOMONAS PUTIDA,5,0,0,0,4,1,Rifampin,NI
STAPHYLOCOCCUS AUR. SS AUREUS,134,2,67,0,48,17,Rifampin,S
PSEUDOMONAS MENDOCINA,4,0,0,0,2,2,Rifampin,NI
MICROCOCCUS SP.,17,0,1,0,16,0,Rifampin,NI
CITROBACTER KOSERI,18,1,0,0,6,11,Rifampin,NI
STAPHYLOCOCCUS SP.,13,0,8,0,3,2,Rifampin,S
MORGANELLA MORGANI SSP SIBONII,1,0,0,0,1,0,Rifampin,NI
ACTINOBACILLUS SUIS,22,0,10,0,11,1,Rifampin,NI
ACTINOBACILLUS EQUULI SS EQUULI,21,0,11,0,9,1,Rifampin,S
STREPTOCOCCUS CANIS,777,0,1,0,681,95,Rifampin,NI
PASTEURELLA CANIS,120,0,0,0,42,78,Rifampin,NI
ESCHERICHIA COLI - LACTOSE CULTURE NEGATIVE,1,0,0,0,1,0,Rifampin,NI
PSEUDOMONAS STUTZERI,5,0,0,0,3,2,Rifampin,NI
PASTEURELLA PNEUMOTROPICA,9,0,2,0,6,1,Rifampin,NI
MORAXELLA SP.,22,0,1,0,8,13,Rifampin,NI
SPHINGOBACTERIUM SPIRITIVORUM,1,0,0,0,1,0,Rifampin,NI
NEISSERIA SP.,24,0,0,0,7,17,Rifampin,NI
NEISSERIA ZOODEGMATIS,9,0,0,0,4,5,Rifampin,NI
PSEUDOMONAS ALCALIGENES,4,0,0,0,2,2,Rifampin,NI
AEROMONAS HYDROPHILIA,4,0,0,0,4,0,Rifampin,NI
AEROMONAS SP.,6,1,0,0,2,3,Rifampin,NI
BORDETELLA BRONCHISEPTICA,46,1,1,0,18,26,Rifampin,NI
CHRONOBACTER SAKAZAKII GROUP,1,0,0,0,1,0,Rifampin,NI
RAOULTELLA ORNITHINOLYTICA,5,1,0,0,3,1,Rifampin,NI
PROVIDENCIA RETTGERI,12,1,0,0,3,8,Rifampin,NI
ENTEROCOCCUS FAECIUM,296,207,65,13,1,10,Rifampin,R
ROTHIA MUCILAGINOSA,3,0,0,0,3,0,Rifampin,NI
ENTEROCOCCUS GALLINARUM,5,3,2,0,0,0,Rifampin,R
STAPHYLOCOCCUS COAGULASE CULTURE NEGATIVE GROUP,407,4,189,0,164,50,Rifampin,S
ENTEROCOCCUS FAECALIS,612,349,119,114,0,30,Rifampin,R
SALMONELLA SP. GROUP B,18,0,0,0,6,12,Rifampin,NI
SALMONELLA SP. GROUP C2,9,3,0,0,2,4,Rifampin,R
SERRATIA MARCESCENS,58,1,0,0,22,35,Rifampin,NI
PANTOEA AGGLOMERANS,18,3,0,0,8,7,Rifampin,NI
SPHINGOMONAS PAUCIMOBILIS,7,0,0,0,5,2,Rifampin,NI
ACHROMOBACTER XYLO SS DENITRIFICANS,3,1,0,0,2,0,Rifampin,NI
ALPHA STREP NOT SUIS,2,0,0,0,1,1,Rifampin,NI
ENTEROCOCCUS DURANS,3,0,3,0,0,0,Rifampin,S
MANNHEIMIA HAEMOLYTICA,18,0,0,0,0,18,Rifampin,Tie
PASTEURELLA SP.,16,0,2,0,9,5,Rifampin,NI
STREPTOCOCCUS NON-HEMOLYTIC,41,0,3,0,29,9,Rifampin,NI
SALMONELLA SP. GROUP C1,14,3,0,0,5,6,Rifampin,NI
BURKHOLDERIA CEPACIA GROUP,2,0,0,0,2,0,Rifampin,NI
ENTEROCOCCUS AVIUM,16,0,14,2,0,0,Rifampin,S
ENTEROBACTER AEROGENES,33,0,0,0,11,22,Rifampin,NI
ENTEROCOCCUS HIRAE,9,1,6,1,0,1,Rifampin,S
BREVUNDIMONAS VESICULARIS,1,0,1,0,0,0,Rifampin,S
SALMONELLA SP. GROUP E1,38,3,0,0,9,26,Rifampin,NI
STAPHYLOCOCCUS COAGULASE POSITIVE GROUP,8,0,1,1,5,1,Rifampin,NI
RHODOCOCCUS EQUI,16,1,8,0,6,1,Rifampin,S
HAEMOPHILUS SP.,6,0,1,0,1,4,Rifampin,Tie
PSEUDOMONAS SP.,16,0,0,2,6,8,Rifampin,NI
KLEBSIELLA PNEUMONIAE SS PNEUMONIAE,1,1,0,0,0,0,Rifampin,R
ACINETOBACTERER SP.,32,2,5,4,11,10,Rifampin,NI
STREPTOCOCCUS BETA GROUP - B,16,0,0,0,14,2,Rifampin,NI
STREPTOCOCCUS BETA GROUP - C,23,0,1,0,21,1,Rifampin,NI
LACTOBACILLUS ACIDOPHILUS,1,0,0,0,1,0,Rifampin,NI
CITROBACTER AMALONATICUS,4,1,0,0,1,2,Rifampin,Tie
AEROMONAS CAVIAE,6,0,0,0,4,2,Rifampin,NI
STREPTOCOCCUS EQUI SSP EQUI,43,0,13,0,30,0,Rifampin,NI
STREPTOCOCCUS DYS. SS EQUISIMILIS,14,0,8,1,3,2,Rifampin,S
ENTEROBACTER CLOACAE,136,11,0,0,48,77,Rifampin,NI
STAPHYLOCOCCUS CHROMOGENES,5,0,1,0,1,3,Rifampin,Tie
BRANHAMELLA OVIS,1,0,0,0,0,1,Rifampin,Tie
STREPTOCOCCUS SUIS V,1,0,0,0,0,1,Rifampin,Tie
STENOTROPHOMONAS MALTOPHILIA,19,2,0,0,6,11,Rifampin,NI
STAPHYLOCOCCUS SCHLEIFERI SS COAGULANS,9,0,0,0,8,1,Rifampin,NI
ACHROMOBACTER SP.,2,1,0,0,1,0,Rifampin,Tie
CITROBACTER FREUNDII,18,1,0,0,7,10,Rifampin,NI
ESCHERICHIA COLI- LACTOSE NEG.,1,0,0,0,0,1,Rifampin,Tie
PROVIDENCIA STUARTII,5,0,0,1,0,4,Rifampin,I
ACHROMOBACTER XYLO SS XYLOSOXIDANS,1,0,0,0,1,0,Rifampin,NI
MYROIDES SP.,2,0,0,0,1,1,Rifampin,NI
GRAMNEGATIVE ORGANISM,11,1,0,1,3,6,Rifampin,NI
SALMONELLA SP. GROUP E4,3,0,0,0,1,2,Rifampin,NI
GRAMPOSITIVE ROD,4,0,0,0,3,1,Rifampin,NI
CRONOBACTER SAKAZAKII GROUP,1,0,0,0,1,0,Rifampin,NI
NEISSERIA ANIMALORIS,9,0,0,0,2,7,Rifampin,NI
STREPTOCOCCUS SP. - NON HEMOLYTIC,1,0,0,0,1,0,Rifampin,NI
CORYNEBACTERIUM RENALE,1,0,0,0,0,1,Rifampin,Tie
TRUEPERELLA PYOGENES,64,0,1,0,2,61,Rifampin,NI
ESCHERICHIA FERGUSONII,2,0,0,0,2,0,Rifampin,NI
PANTOEA SP.,18,2,0,0,8,8,Rifampin,NI
STAPHYLOCOCCUS SCHLEIFERI,116,3,97,0,3,13,Rifampin,S
STAPHYLOCOCCUS SP. COAG CULTURE NEGATIVE,1,0,0,0,1,0,Rifampin,NI
ENTEROBACTER ASBURIAE,23,1,0,0,3,19,Rifampin,NI
PSEUDOMONAS FLUORESCENS,2,0,0,0,2,0,Rifampin,NI
STREPTOCOCCUS BETA HAEMOLYTIC,5,0,0,0,4,1,Rifampin,NI
ENTEROBACTER CANCEROGENUS,1,1,0,0,0,0,Rifampin,R
STAPHYLOCOCCUS SCHLEIFERI SS SCHLEIFERI,1,0,1,0,0,0,Rifampin,S
STAPHYLOCOCCUS HYICUS,5,0,0,0,0,5,Rifampin,Tie
SERRATIA LIQUEFACIENS,2,0,0,0,1,1,Rifampin,NI
BIBERSTEINIA TREHALOSI,12,0,0,0,0,12,Rifampin,Tie
STREPTOCOCCUS UBERIS,6,0,0,0,1,5,Rifampin,NI
"STAPHYLOCOCCUS SCHLEIFERI, COAGULASE POSITIVE",2,0,0,0,1,1,Rifampin,NI
CITROBACTER BRAAKII,5,0,0,0,3,2,Rifampin,NI
ACTINOBACILLUS SP.,13,0,1,0,12,0,Rifampin,NI
ENTEROBACTER AMNIGENUS,2,0,0,0,2,0,Rifampin,NI
STAPHYLOCOCCUS INTERMEDIUS,10,0,4,0,6,0,Rifampin,NI
STAPHYLOCOCCUS SCHLEIFERI - COAG POS,37,0,16,0,16,5,Rifampin,Tie
STAPHYLOCOCCUS SCHLEIFERI - COAG NEG,58,1,37,0,9,11,Rifampin,S
SALMONELLA SP.,81,0,0,0,35,46,Rifampin,NI
COAGULASE NEATIVE STAPHYLOCOCCUS,1,0,0,0,1,0,Rifampin,NI
SALMONELLA SP.(POLY A),6,0,0,0,4,2,Rifampin,NI
RHIZOBIUM RADIOBACTER,3,0,1,0,0,2,Rifampin,S
KLUYVERA ASCORBATA,1,0,0,0,1,0,Rifampin,NI
HAFNIA ALVEI,2,0,0,0,1,1,Rifampin,NI
STAPHYLOCOCCUS SACCHAROLYTICUS,1,0,0,0,1,0,Rifampin,NI
RAOULTELLA PLANTICOLA,1,0,0,0,1,0,Rifampin,NI
COMAMONAS TESTOSTERONI,1,1,0,0,0,0,Rifampin,R
SERRATIA RUBIDAEA,1,1,0,0,0,0,Rifampin,R
CITROBACTER SP.,2,0,0,0,1,1,Rifampin,NI
PEDIOCOCCUS SP.,1,0,0,0,1,0,Rifampin,NI
ACTINOMYCES CANIS,20,0,0,0,20,0,Rifampin,NI
GRAMPOSITIVE COCCUS,8,0,1,0,6,1,Rifampin,NI
ROTHIA NASIMURIUM,14,0,1,0,11,2,Rifampin,NI
STAPHYLOCOCCUS WARNERI,1,0,0,0,1,0,Rifampin,NI
ACINETOBACTERER LWOFFI,4,0,0,0,2,2,Rifampin,NI
MICROCOCCUS LUTEUS,14,0,0,0,14,0,Rifampin,NI
STREPTOCOCCUS DYS SS DYSGALACTIAE,11,0,0,0,9,2,Rifampin,NI
ACTINOBACILLUS UREAE,6,0,1,0,5,0,Rifampin,NI
ENTEROCOCCUS CANINTESTINI,15,1,14,0,0,0,Rifampin,S
ENTEROCOCCUS CANIS,4,0,4,0,0,0,Rifampin,S
HISTOPHILUS SOMNI,7,0,0,0,0,7,Rifampin,Tie
CORYNEBACTERIUM AURISCANIS,72,1,57,1,2,11,Rifampin,S
BACILLUS CEREUS,20,0,16,0,1,3,Rifampin,S
STREPTOCOCCUS AGALACTIAE,10,0,0,0,10,0,Rifampin,NI
NEISSERIA FLAVESCENS,2,0,0,0,1,1,Rifampin,NI
ESCHERICHIA HERMANNII,3,1,0,0,1,1,Rifampin,Tie
HAEMOPHILUS HAEMOGLOBINOPHILUS,22,0,0,0,3,19,Rifampin,NI
PASTEURELLA DAGMATIS,22,0,0,0,1,21,Rifampin,NI
ACTINOMYCES SP.,22,0,1,0,21,0,Rifampin,NI
MORAXELLA SPP,2,0,0,0,1,1,Rifampin,NI
PSEUDOMONAS KOREENSIS,2,0,0,0,1,1,Rifampin,NI
STREPTOCOCCUS PNEUMONIAE,10,0,9,0,1,0,Rifampin,S
STREPTOCOCCUS SP.,17,0,0,0,15,2,Rifampin,NI
SPHINGOMONAS PARAPAUCIMOBILIS,1,0,0,0,1,0,Rifampin,NI
LISTERIA MONOCYTOGENES,2,0,0,0,0,2,Rifampin,Tie
BACILLUS LICHENIFORMIS,7,0,6,0,1,0,Rifampin,S
AEROMONAS HYDROPHILA SS HYDROPHILA,3,0,0,0,2,1,Rifampin,NI
METHYLOBACTERIUM SP.,1,0,1,0,0,0,Rifampin,S
AEROMONAS SOBRIA,3,0,0,0,1,2,Rifampin,NI
SHEWANELLA PUTREFACIENS,3,0,0,0,1,2,Rifampin,NI
STREPTOCOCCUS DYSGALACTIAE,28,0,0,0,24,4,Rifampin,NI
PASTEURELLA STOMATIS,4,0,0,0,2,2,Rifampin,NI
ACINETOBACTERER BAUMANNII,10,1,0,0,3,6,Rifampin,NI
CORYNEBACTERIUM PSEUDOTUBERCULOSIS,10,0,3,0,0,7,Rifampin,S
GALLIBACTERIUM ANATIS,1,0,0,0,1,0,Rifampin,NI
MORAXELLA BOVIS,2,0,0,0,0,2,Rifampin,Tie
ENTEROBACTER SP.,22,0,0,0,2,20,Rifampin,NI
AEROMONAS VERONII,5,0,0,1,1,3,Rifampin,Tie
NEISSERIA WEAVERI,8,0,0,0,1,7,Rifampin,NI
STREPTOCOCCUS GP. B,1,0,0,0,1,0,Rifampin,NI
CORYNEBACTERIUM ULCERANS,9,0,8,0,0,1,Rifampin,S
CORYNEBACTERIUM UREALYTICUM,10,0,9,1,0,0,Rifampin,S
AEROMONAS HYDROPHILA,2,0,0,0,1,1,Rifampin,NI
CORYNEBACTERIUM AMYCOLATUM,29,2,23,1,0,3,Rifampin,S
KLEBSIELLA SP.,7,0,0,0,1,6,Rifampin,NI
ENTEROBACTER LUDWIGII,10,0,0,0,1,9,Rifampin,NI
STREPTOCOCCUS DYSGALACT. SS EQUISIMILIS,1,0,0,0,1,0,Rifampin,NI
STREPTOCOCCUS GROUP C,1,0,0,0,1,0,Rifampin,NI
BACILLUS SIMPLEX,1,0,1,0,0,0,Rifampin,S
BURKHOLDERIA CEPACIA,2,0,0,0,1,1,Rifampin,NI
PSEUDOMONAS FULVA,5,0,0,0,1,4,Rifampin,NI
STAPHYLOCOCCUS SCHLEIFERI COAG POSITIVE,1,0,1,0,0,0,Rifampin,S
ACTINOBACILLUS ROSSII,7,0,0,0,7,0,Rifampin,NI
GRAMPOSITIVE ORGANISM,3,0,0,0,3,0,Rifampin,NI
STAPHYLOCOCCUS SCHLEIFERI COAG NEG,1,0,0,0,0,1,Rifampin,Tie
BACILLUS MEGATERIUM,10,0,8,0,0,2,Rifampin,S
BACILLUS THURINGIENSIS,6,0,3,1,0,2,Rifampin,S
OCHROBACTRUM INTERMEDIUM,2,0,0,0,0,2,Rifampin,Tie
BERGEYELLA ZOOHELCUM,2,0,0,0,0,2,Rifampin,Tie
ROTHIA SP.,6,0,0,0,4,2,Rifampin,NI
KLEBSIELLA VARIICOLA,16,0,0,0,0,16,Rifampin,Tie
CITROBACTER SEDLAKII,5,0,0,0,5,0,Rifampin,NI
BACILLUS PUMILUS,5,0,4,0,0,1,Rifampin,S
EIKENELLA CORRODENS,3,0,0,0,0,3,Rifampin,Tie
MORAXELLA BOVOCULI,5,0,0,0,0,5,Rifampin,Tie
PSEUDOMONAS OTITIDIS,1,0,0,0,0,1,Rifampin,Tie
MANNHEIMIA VARIGENA,1,0,0,0,0,1,Rifampin,Tie
STAPHYLOCOCCUS DELPHINI,11,0,11,0,0,0,Rifampin,S
STREPTOCOCCUS MINOR,5,0,0,0,5,0,Rifampin,NI
CORYNEBACTERIUM AURICANIS,2,0,1,0,0,1,Rifampin,S
CAPNOCYTOPHAGA OCHRACEA,1,0,0,0,0,1,Rifampin,Tie
MICROBACTERIUM PARAOXYDANS,2,0,0,0,2,0,Rifampin,NI
